Name,Catalogue,Paper,ID,Source,Table No.,Link,Reference Paper DOI,Index,Key,RA Column,DEC Column,Z,Best Z,Quality_Flags,Type_Flag,Marker size,Saved,Use
UltraVISTA,The fourth UltraVISTA data release,UltraVISTA: a new ultra-deep near-infrared survey in COSMOS,II/373,Vizier,0,https://ui.adsabs.harvard.edu/abs/2012A%26A...544A.156M/abstract,10.1051/0004-6361/201219507,recno,None,RAJ2000,DEJ2000,None,None,None,None,0.01,No,Yes
COSMOS-ZFOURGE,FourStar galaxy evolution survey,"The FourStar Galaxy Evolution Survey (ZFOURGE): Ultraviolet to Far-infrared Catalogs, Medium-bandwidth Photometric Redshifts with Improved Accuracy, Stellar Masses, and Confirmation of Quiescent Galaxies to z _ 3.5",J/ApJ/830/51,Vizier,"[1,7]",https://ui.adsabs.harvard.edu/abs/2016ApJ...830...51S/abstract,10.3847/0004-637X/830/1/51,recno,Seq,RAJ2000,DEJ2000,"[""zspec"",""z""]",zspec,None,"[""irAGN"",""radAGN"",""xAGN""]",0.01,No,Yes
CDFS-ZFOURGE,FourStar galaxy evolution survey,"The FourStar Galaxy Evolution Survey (ZFOURGE): Ultraviolet to Far-infrared Catalogs, Medium-bandwidth Photometric Redshifts with Improved Accuracy, Stellar Masses, and Confirmation of Quiescent Galaxies to z _ 3.5",J/ApJ/830/51,Vizier,"[0,2]",https://ui.adsabs.harvard.edu/abs/2016ApJ...830...51S/abstract,10.3847/0004-637X/830/1/51,recno,Seq,RAJ2000,DEJ2000,"[""zspec"",""zp""]",zspec,None,None,0.01,No,Yes
DEIMOS,DEIMOS 10K spectroscopic survey in COSMOS field,The DEIMOS 10K Spectroscopic Survey Catalog of the COSMOS Field,J/ApJ/858/77,Vizier,1,https://ui.adsabs.harvard.edu/abs/2018ApJ...858...77H/abstract,10.3847/1538-4357/aabacf,recno,None,RAJ2000,DEJ2000,"[""zspec""]",zspec,"[""Qf""]",None,0.01,No,Yes
SPLASH-SXDF,SPLASH-SXDF multi-wavelength photometric catalog,SPLASH-SXDF Multi-wavelength Photometric Catalog,J/ApJS/235/36,Vizier,0,https://ui.adsabs.harvard.edu/abs/2018ApJS..235...36M/abstract,10.3847/1538-4365/aab60c,recno,None,RAJ2000,DEJ2000,"[""zspec"",""zphot""]",zspec,None,None,0.01,No,Yes
SWIRE-REVISED,Revised SWIRE photometric redshifts,Revised SWIRE photometric redshifts,II/326,Vizier,0,https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1958R/abstract,10.1093/mnras/sts163,recno,None,RAJ2000,DEJ2000,"[""zsp""]",zsp,None,None,0.01,No,Yes
VIMOS,VIMOS Public Extragalactic Survey (VIPERS) DR1,The VIMOS Public Extragalactic Survey (VIPERS). First Data Release of 57 204 spectroscopic measurements,J/A+A/562/A23,Vizier,0,https://ui.adsabs.harvard.edu/abs/2014A%26A...562A..23G/abstract,10.1051/0004-6361/201322790,recno,None,RAJ2000,DEJ2000,"[""zsp""]",zsp,"[""q_zsp""]",None,0.01,No,Yes
VIRMOS,VIRMOS deep imaging survey. VVDS-F02 catalog,he VIRMOS deep imaging survey.,II/286,Vizier,0,https://ui.adsabs.harvard.edu/abs/2003A%26A...410...17M/abstract,10.1051/0004-6361:20031081,None,None,RAJ2000,DEJ2000,None,None,None,"[""Sflg""]",0.01,No,Yes
VIPERS-W1,VIPERS Multi-Lambda Survey,VIPERS Multi-Lambda Survey,J/A+A/590/A102,Vizier,0,https://ui.adsabs.harvard.edu/abs/2016A%26A...590A.102M/abstract,10.1051/0004-6361/201527945,recno,None,RAJ2000,DEJ2000,"[""zphot"",""zbest""]",zbest,None,"[""Classks""]",0.01,No,Yes
CFHQSIR,CFHQSIR survey,The CFHQSIR survey: a Y-band extension of the CFHTLS-Wide survey,J/A+A/616/A55,Vizier,0,https://ui.adsabs.harvard.edu/abs/2018A%26A...616A..55P/abstract,10.1051/0004-6361/201731944,recno,None,RAJ2000,DEJ2000,None,None,None,"[""ClassStarY""]",0.01,No,Yes
MIGHTEE,MIGHTEE XMM-LSS Survey,MIGHTEE: total intensity radio continuum imaging and the COSMOS/XMM-LSS Early Science fields,J/MNRAS/509/2150,Vizier,0,https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.2150H/abstract,10.1093/mnras/stab3021,recno,None,RAJ2000,DEJ2000,None,None,None,None,0.01,No,Yes
MIGHTEE,MIGHTEE COSMOS Survey,MIGHTEE: total intensity radio continuum imaging and the COSMOS/XMM-LSS Early Science fields,J/MNRAS/509/2150,Vizier,1,https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.2150H/abstract,10.1093/mnras/stab3021,recno,None,RAJ2000,DEJ2000,None,None,None,None,0.01,No,Yes
DARVISH,Darvish COSMOS Study,A Comparative Study of Density Field Estimation for Galaxies: New Insights into the Evolution of Galaxies with Environment in COSMOS out to z_3,J/ApJ/805/121 ,Vizier,0,https://ui.adsabs.harvard.edu/abs/2015ApJ...805..121D/abstract,10.1088/0004-637X/805/2/121,recno,None,RAJ2000,DEJ2000,"[""zph""]",zph,None,None,0.01,No,Yes
COSMOS-AGN-ZSP,COSMOS AGN spectroscopic survey,The COSMOS Active Galactic Nucleus Spectroscopic Survey. I. XMM-Newton Counterparts,J/ApJ/696/1195,Vizier,0,https://ui.adsabs.harvard.edu/abs/2009ApJ...696.1195T/abstract,10.1088/0004-637X/696/2/1195,recno,None,RAJ2000,DEJ2000,"[""z""]",z,"[""q_z""]",None,0.01,No,Yes
XMM-SERVS-ELAIS,XMM-SERVS survey X-ray sources for W-CDF-S & ELAIS-S1,The XMM-SERVS Survey: XMM-Newton Point-source Catalogs for the W-CDF-S and ELAIS-S1 Fields,J/ApJS/256/21,Vizier,0,https://ui.adsabs.harvard.edu/abs/2021ApJS..256...21N/abstract,10.3847/1538-4365/ac0dc6,recno,None,RAJ2000,DEJ2000,"[""zsp"",""zphot"",""zpEazy"",""zpLP""]",zsp,"[""q_zsp"","""",""q_zpEazy"",""""]","[""zCl""]",0.01,No,Yes
XMM-SERVS-ECDFS,XMM-SERVS survey X-ray sources for W-CDF-S & ELAIS-S1,The XMM-SERVS Survey: XMM-Newton Point-source Catalogs for the W-CDF-S and ELAIS-S1 Fields,J/ApJS/256/21,Vizier,1,https://ui.adsabs.harvard.edu/abs/2021ApJS..256...21N/abstract,10.3847/1538-4365/ac0dc6,recno,None,RAJ2000,DEJ2000,"[""zsp"",""zphot"",""zpEazy"",""zpLP""]",zsp,"[""q_zsp"","""",""q_zpEazy"",""""]","[""zCl""]",0.01,No,Yes
2XMMi,2XMMi/SDSS Galaxy Cluster Survey,The 2XMMi/SDSS Galaxy Cluster Survey. III. Clusters associated with spectroscopically targeted luminous red galaxies in SDSS-DR10,J/A+A/564/A54,Vizier,0,https://ui.adsabs.harvard.edu/abs/2014A%26A...564A..54T/abstract,10.1051/0004-6361/201322973,recno,None,RAJ2000,DEJ2000,"[""zs"",""zp""]",zs,None,None,0.01,No,Yes
